species,season,abundance,longitude,latitude,FAO_Major_Fishing_Areas,FAO_CWP_Code
bluefin-tuna,apr-jun,0,148.5,-44.5,57,5245147
bluefin-tuna,apr-jun,0,150.5,-43.5,57,5242150
bluefin-tuna,apr-jun,0,148.5,-42.5,57,5243147
bluefin-tuna,apr-jun,0,149.5,-42.5,57,5242150
bluefin-tuna,apr-jun,0,47.5,-41.5,51,5241048
bluefin-tuna,apr-jun,0,48.5,-41.5,51,5241048
bluefin-tuna,apr-jun,0,53.5,-41.5,51,5242052
bluefin-tuna,apr-jun,0,148.5,-41.5,57,5242147
bluefin-tuna,apr-jun,0,150.5,-41.5,57,5242150
bluefin-tuna,apr-jun,0,152.5,-39.5,81,5240153
bluefin-tuna,apr-jun,0,-178.5,-38.5,81,5339178
bluefin-tuna,apr-jun,0,149.5,-38.5,57,5239148
bluefin-tuna,apr-jun,0,150.5,-38.5,57,5239149
bluefin-tuna,apr-jun,0,-178.5,-37.5,81,5338178
bluefin-tuna,apr-jun,0,150.5,-37.5,57,5238150
bluefin-tuna,apr-jun,0,151.5,-37.5,81,5238150
bluefin-tuna,apr-jun,0,152.5,-37.5,81,5238153
bluefin-tuna,apr-jun,0,179.5,-37.5,81,5238178
bluefin-tuna,apr-jun,0,150.5,-36.5,81,5237151
bluefin-tuna,apr-jun,0,151.5,-36.5,81,5237150
bluefin-tuna,apr-jun,0,40.5,-35.5,51,5235039
bluefin-tuna,apr-jun,0,151.5,-35.5,81,5236150
bluefin-tuna,apr-jun,0,43.5,-34.5,51,5233043
bluefin-tuna,apr-jun,0,44.5,-34.5,51,5235045
bluefin-tuna,apr-jun,0,155.5,-34.5,81,5233156
bluefin-tuna,apr-jun,0,44.5,-33.5,51,5232045
bluefin-tuna,apr-jun,0,156.5,-33.5,81,5234156
bluefin-tuna,apr-jun,0,158.5,-33.5,81,5234159
bluefin-tuna,apr-jun,0,155.5,-32.5,81,5233154
bluefin-tuna,apr-jun,0,170.5,-32.5,81,5233171
bluefin-tuna,apr-jun,0,157.5,-31.5,81,5231157
bluefin-tuna,apr-jun,0,169.5,-31.5,81,5230170
bluefin-tuna,apr-jun,0,170.5,-31.5,81,5231170
bluefin-tuna,apr-jun,0,11.5,-30.5,47,5230010
bluefin-tuna,apr-jun,0,40.5,-30.5,51,5231041
bluefin-tuna,apr-jun,0,153.5,-30.5,81,5231152
bluefin-tuna,apr-jun,0,169.5,-30.5,81,5230170
bluefin-tuna,apr-jun,0,170.5,-30.5,81,5230171
bluefin-tuna,apr-jun,0,13.5,-29.5,47,5230012
bluefin-tuna,apr-jun,0,168.5,-29.5,81,5230168
bluefin-tuna,apr-jun,0,169.5,-29.5,81,5229169
bluefin-tuna,apr-jun,0,171.5,-29.5,81,5230171
bluefin-tuna,apr-jun,0,105.5,-28.5,57,5229106
bluefin-tuna,apr-jun,0,106.5,-28.5,57,5229106
bluefin-tuna,apr-jun,0,154.5,-28.5,81,5227153
bluefin-tuna,apr-jun,0,12.5,-27.5,47,5227012
bluefin-tuna,apr-jun,0,154.5,-27.5,81,5228154
bluefin-tuna,apr-jun,0,12.5,-26.5,47,5227012
bluefin-tuna,apr-jun,0,-164.5,-25.5,81,5326163
bluefin-tuna,apr-jun,0,73.5,-25.5,51,5226072
bluefin-tuna,apr-jun,0,74.5,-25.5,51,5226075
bluefin-tuna,apr-jun,0,-164.5,-24.5,81,5325163
bluefin-tuna,apr-jun,0,-163.5,-24.5,81,5325162
bluefin-tuna,apr-jun,0,73.5,-24.5,51,5225072
bluefin-tuna,apr-jun,0,154.5,-23.5,71,5224154
bluefin-tuna,apr-jun,0,104.5,-19.5,57,5220105
bluefin-tuna,apr-jun,0,115.5,-19.5,57,5220114
bluefin-tuna,apr-jun,0,116.5,-19.5,57,5220115
bluefin-tuna,apr-jun,0,120.5,-19.5,57,5220120
bluefin-tuna,apr-jun,0,114.5,-18.5,57,5219113
bluefin-tuna,apr-jun,0,115.5,-18.5,57,5219114
bluefin-tuna,apr-jun,0,-154.5,-17.5,77,5318153
bluefin-tuna,apr-jun,0,-152.5,-17.5,77,5318151
bluefin-tuna,apr-jun,0,117.5,-17.5,57,5218118
bluefin-tuna,apr-jun,0,118.5,-17.5,57,5218117
bluefin-tuna,apr-jun,0,-156.5,-16.5,77,5317155
bluefin-tuna,apr-jun,0,-154.5,-16.5,77,5317153
bluefin-tuna,apr-jun,0,-152.5,-16.5,77,5317151
bluefin-tuna,apr-jun,0,104.5,-16.5,57,5216103
bluefin-tuna,apr-jun,0,115.5,-16.5,57,5215116
bluefin-tuna,apr-jun,0,116.5,-16.5,57,5217116
bluefin-tuna,apr-jun,0,117.5,-16.5,57,5217118
bluefin-tuna,apr-jun,0,118.5,-16.5,57,5217118
bluefin-tuna,apr-jun,0,-155.5,-15.5,77,5314156
bluefin-tuna,apr-jun,0,-153.5,-15.5,77,5316153
bluefin-tuna,apr-jun,0,114.5,-15.5,57,5216115
bluefin-tuna,apr-jun,0,116.5,-15.5,57,5216117
bluefin-tuna,apr-jun,0,117.5,-15.5,57,5216118
bluefin-tuna,apr-jun,0,118.5,-15.5,57,5215117
bluefin-tuna,apr-jun,0,120.5,-15.5,57,5216121
bluefin-tuna,apr-jun,0,-178.5,-14.5,71,5315178
bluefin-tuna,apr-jun,0,86.5,-14.5,57,5215085
bluefin-tuna,apr-jun,0,87.5,-14.5,57,5215087
bluefin-tuna,apr-jun,0,110.5,-14.5,57,5214110
bluefin-tuna,apr-jun,0,112.5,-14.5,57,5213111
bluefin-tuna,apr-jun,0,113.5,-14.5,57,5215112
bluefin-tuna,apr-jun,0,114.5,-14.5,57,5215114
bluefin-tuna,apr-jun,0,115.5,-14.5,57,5215115
bluefin-tuna,apr-jun,0,116.5,-14.5,57,5215116
bluefin-tuna,apr-jun,0,117.5,-14.5,57,5215116
bluefin-tuna,apr-jun,0,118.5,-14.5,57,5215119
bluefin-tuna,apr-jun,0,119.5,-14.5,57,5215119
bluefin-tuna,apr-jun,0,120.5,-14.5,57,5215121
bluefin-tuna,apr-jun,0,121.5,-14.5,57,5215122
bluefin-tuna,apr-jun,0,160.5,-14.5,71,5215159
bluefin-tuna,apr-jun,0,108.5,-13.5,57,5214107
bluefin-tuna,apr-jun,0,109.5,-13.5,57,5214110
bluefin-tuna,apr-jun,0,110.5,-13.5,57,5214110
bluefin-tuna,apr-jun,0,111.5,-13.5,57,5214110
bluefin-tuna,apr-jun,0,112.5,-13.5,57,5213111
bluefin-tuna,apr-jun,0,113.5,-13.5,57,5214112
bluefin-tuna,apr-jun,0,114.5,-13.5,57,5214113
bluefin-tuna,apr-jun,0,115.5,-13.5,57,5214114
bluefin-tuna,apr-jun,0,116.5,-13.5,57,5214115
bluefin-tuna,apr-jun,0,117.5,-13.5,57,5214118
bluefin-tuna,apr-jun,0,118.5,-13.5,57,5213119
bluefin-tuna,apr-jun,0,119.5,-13.5,57,5214120
bluefin-tuna,apr-jun,0,120.5,-13.5,57,5214119
bluefin-tuna,apr-jun,0,121.5,-13.5,57,5214122
bluefin-tuna,apr-jun,0,149.5,-13.5,71,5214150
bluefin-tuna,apr-jun,0,150.5,-13.5,71,5214150
bluefin-tuna,apr-jun,0,153.5,-13.5,71,5214154
bluefin-tuna,apr-jun,0,154.5,-13.5,71,5214154
bluefin-tuna,apr-jun,0,163.5,-13.5,71,5214162
bluefin-tuna,apr-jun,0,-165.5,-12.5,77,5313165
bluefin-tuna,apr-jun,0,-155.5,-12.5,77,5312156
bluefin-tuna,apr-jun,0,-135.5,-12.5,77,5313135
bluefin-tuna,apr-jun,0,-134.5,-12.5,77,5311133
bluefin-tuna,apr-jun,0,-98.5,-12.5,87,5313098
bluefin-tuna,apr-jun,0,-97.5,-12.5,87,5313098
bluefin-tuna,apr-jun,0,63.5,-12.5,51,5213064
bluefin-tuna,apr-jun,0,92.5,-12.5,57,5213092
bluefin-tuna,apr-jun,0,100.5,-12.5,57,5211099
bluefin-tuna,apr-jun,0,104.5,-12.5,57,5213103
bluefin-tuna,apr-jun,0,105.5,-12.5,57,5212104
bluefin-tuna,apr-jun,0,107.5,-12.5,57,5213108
