species,season,abundance,longitude,latitude,FAO_Major_Fishing_Areas,FAO_CWP_Code
black-marlin,jan-mar,0,124.5,-43.5,57,5244125
black-marlin,jan-mar,0,125.5,-41.5,57,5242125
black-marlin,jan-mar,0,138.5,-41.5,57,5242137
black-marlin,jan-mar,0,-84.5,-40.5,87,5340085
black-marlin,jan-mar,0,126.5,-40.5,57,5241126
black-marlin,jan-mar,0,-86.5,-39.5,87,5340085
black-marlin,jan-mar,0,83.5,-39.5,57,5239084
black-marlin,jan-mar,0,85.5,-39.5,57,5240085
black-marlin,jan-mar,0,87.5,-39.5,57,5240086
black-marlin,jan-mar,0,136.5,-39.5,57,5240135
black-marlin,jan-mar,0,-87.5,-38.5,87,5337087
black-marlin,jan-mar,0,81.5,-38.5,57,5239081
black-marlin,jan-mar,0,-89.5,-37.5,87,5338090
black-marlin,jan-mar,0,86.5,-37.5,57,5238087
black-marlin,jan-mar,0,115.5,-37.5,57,5237115
black-marlin,jan-mar,0,125.5,-37.5,57,5238124
black-marlin,jan-mar,0,132.5,-37.5,57,5238131
black-marlin,jan-mar,0,-91.5,-36.5,87,5337090
black-marlin,jan-mar,0,-90.5,-36.5,87,5337090
black-marlin,jan-mar,0,80.5,-36.5,57,5237079
black-marlin,jan-mar,0,88.5,-36.5,57,5237087
black-marlin,jan-mar,0,114.5,-36.5,57,5237113
black-marlin,jan-mar,0,127.5,-36.5,57,5235128
black-marlin,jan-mar,0,130.5,-36.5,57,5235130
black-marlin,jan-mar,0,-92.5,-35.5,87,5336093
black-marlin,jan-mar,0,78.5,-35.5,51,5236079
black-marlin,jan-mar,0,89.5,-35.5,57,5234090
black-marlin,jan-mar,0,11.5,-34.5,47,5235012
black-marlin,jan-mar,0,14.5,-34.5,47,5234014
black-marlin,jan-mar,0,15.5,-34.5,47,5235015
black-marlin,jan-mar,0,85.5,-34.5,57,5235084
black-marlin,jan-mar,0,89.5,-34.5,57,5234088
black-marlin,jan-mar,0,154.5,-34.5,81,5233155
black-marlin,jan-mar,0,158.5,-34.5,81,5235157
black-marlin,jan-mar,0,-94.5,-33.5,87,5332093
black-marlin,jan-mar,0,-93.5,-33.5,87,5334092
black-marlin,jan-mar,0,2.5,-33.5,47,5234003
black-marlin,jan-mar,0,4.5,-33.5,47,5233005
black-marlin,jan-mar,0,7.5,-33.5,47,5234008
black-marlin,jan-mar,0,8.5,-33.5,47,5234009
black-marlin,jan-mar,0,9.5,-33.5,47,5234009
black-marlin,jan-mar,0,14.5,-33.5,47,5234014
black-marlin,jan-mar,0,15.5,-33.5,47,5234014
black-marlin,jan-mar,0,76.5,-33.5,51,5234075
black-marlin,jan-mar,0,84.5,-33.5,57,5234084
black-marlin,jan-mar,0,155.5,-33.5,81,5234154
black-marlin,jan-mar,0,156.5,-33.5,81,5234156
black-marlin,jan-mar,0,157.5,-33.5,81,5234156
black-marlin,jan-mar,0,158.5,-33.5,81,5234159
black-marlin,jan-mar,0,159.5,-33.5,81,5234159
black-marlin,jan-mar,0,160.5,-33.5,81,5234159
black-marlin,jan-mar,0,-95.5,-32.5,87,5333095
black-marlin,jan-mar,0,1.5,-32.5,47,5233000
black-marlin,jan-mar,0,2.5,-32.5,47,5233001
black-marlin,jan-mar,0,7.5,-32.5,47,5233006
black-marlin,jan-mar,0,8.5,-32.5,47,5233008
black-marlin,jan-mar,0,83.5,-32.5,57,5233083
black-marlin,jan-mar,0,84.5,-32.5,57,5233083
black-marlin,jan-mar,0,90.5,-32.5,57,5232089
black-marlin,jan-mar,0,164.5,-32.5,81,5233163
black-marlin,jan-mar,0,-96.5,-31.5,87,5331095
black-marlin,jan-mar,0,1.5,-31.5,47,5232002
black-marlin,jan-mar,0,2.5,-31.5,47,5232003
black-marlin,jan-mar,0,75.5,-31.5,51,5231074
black-marlin,jan-mar,0,84.5,-31.5,57,5232085
black-marlin,jan-mar,0,86.5,-31.5,57,5232086
black-marlin,jan-mar,0,87.5,-31.5,57,5232086
black-marlin,jan-mar,0,100.5,-31.5,57,5232101
black-marlin,jan-mar,0,101.5,-31.5,57,5231102
black-marlin,jan-mar,0,113.5,-31.5,57,5232112
black-marlin,jan-mar,0,114.5,-31.5,57,5232114
black-marlin,jan-mar,0,157.5,-31.5,81,5231157
black-marlin,jan-mar,0,164.5,-31.5,81,5232165
black-marlin,jan-mar,0,-98.5,-30.5,87,5331097
black-marlin,jan-mar,0,74.5,-30.5,51,5229075
