species,season,abundance,longitude,latitude,FAO_Major_Fishing_Areas,FAO_CWP_Code
southern-bluefin-tuna,jan-mar,0,124.5,-43.5,57,5244125
southern-bluefin-tuna,jan-mar,0,125.5,-41.5,57,5242125
southern-bluefin-tuna,jan-mar,0,138.5,-41.5,57,5242137
southern-bluefin-tuna,jan-mar,0,-84.5,-40.5,87,5340085
southern-bluefin-tuna,jan-mar,0,126.5,-40.5,57,5241126
southern-bluefin-tuna,jan-mar,0,-86.5,-39.5,87,5340085
southern-bluefin-tuna,jan-mar,0,83.5,-39.5,57,5239084
southern-bluefin-tuna,jan-mar,0,85.5,-39.5,57,5240085
southern-bluefin-tuna,jan-mar,0,87.5,-39.5,57,5240086
southern-bluefin-tuna,jan-mar,0,136.5,-39.5,57,5240135
southern-bluefin-tuna,jan-mar,0,-87.5,-38.5,87,5337087
southern-bluefin-tuna,jan-mar,0,81.5,-38.5,57,5239081
southern-bluefin-tuna,jan-mar,0,-89.5,-37.5,87,5338090
southern-bluefin-tuna,jan-mar,0,86.5,-37.5,57,5238087
southern-bluefin-tuna,jan-mar,0,115.5,-37.5,57,5237115
southern-bluefin-tuna,jan-mar,0,125.5,-37.5,57,5238124
southern-bluefin-tuna,jan-mar,0,132.5,-37.5,57,5238131
southern-bluefin-tuna,jan-mar,0,-91.5,-36.5,87,5337090
southern-bluefin-tuna,jan-mar,0,-90.5,-36.5,87,5337090
southern-bluefin-tuna,jan-mar,0,80.5,-36.5,57,5237079
southern-bluefin-tuna,jan-mar,0,88.5,-36.5,57,5237087
southern-bluefin-tuna,jan-mar,0,114.5,-36.5,57,5237113
southern-bluefin-tuna,jan-mar,0,127.5,-36.5,57,5235128
southern-bluefin-tuna,jan-mar,0,130.5,-36.5,57,5235130
southern-bluefin-tuna,jan-mar,0,-92.5,-35.5,87,5336093
southern-bluefin-tuna,jan-mar,0,78.5,-35.5,51,5236079
southern-bluefin-tuna,jan-mar,0,89.5,-35.5,57,5234090
southern-bluefin-tuna,jan-mar,0,11.5,-34.5,47,5235012
southern-bluefin-tuna,jan-mar,0,14.5,-34.5,47,5234014
southern-bluefin-tuna,jan-mar,0,15.5,-34.5,47,5235015
southern-bluefin-tuna,jan-mar,0,85.5,-34.5,57,5235084
southern-bluefin-tuna,jan-mar,0,89.5,-34.5,57,5234088
southern-bluefin-tuna,jan-mar,0,154.5,-34.5,81,5233155
southern-bluefin-tuna,jan-mar,0,158.5,-34.5,81,5235157
southern-bluefin-tuna,jan-mar,0,-94.5,-33.5,87,5332093
southern-bluefin-tuna,jan-mar,0,-93.5,-33.5,87,5334092
southern-bluefin-tuna,jan-mar,0,2.5,-33.5,47,5234003
southern-bluefin-tuna,jan-mar,0,4.5,-33.5,47,5233005
southern-bluefin-tuna,jan-mar,0,7.5,-33.5,47,5234008
southern-bluefin-tuna,jan-mar,0,8.5,-33.5,47,5234009
southern-bluefin-tuna,jan-mar,0,9.5,-33.5,47,5234009
southern-bluefin-tuna,jan-mar,0,14.5,-33.5,47,5234014
southern-bluefin-tuna,jan-mar,0,15.5,-33.5,47,5234014
southern-bluefin-tuna,jan-mar,0,76.5,-33.5,51,5234075
southern-bluefin-tuna,jan-mar,0,84.5,-33.5,57,5234084
southern-bluefin-tuna,jan-mar,0,155.5,-33.5,81,5234154
southern-bluefin-tuna,jan-mar,0,156.5,-33.5,81,5234156
southern-bluefin-tuna,jan-mar,0,157.5,-33.5,81,5234156
southern-bluefin-tuna,jan-mar,0,158.5,-33.5,81,5234159
southern-bluefin-tuna,jan-mar,0,159.5,-33.5,81,5234159
southern-bluefin-tuna,jan-mar,0,160.5,-33.5,81,5234159
southern-bluefin-tuna,jan-mar,0,-95.5,-32.5,87,5333095
southern-bluefin-tuna,jan-mar,0,1.5,-32.5,47,5233000
southern-bluefin-tuna,jan-mar,0,2.5,-32.5,47,5233001
southern-bluefin-tuna,jan-mar,0,7.5,-32.5,47,5233006
southern-bluefin-tuna,jan-mar,0,8.5,-32.5,47,5233008
southern-bluefin-tuna,jan-mar,0,83.5,-32.5,57,5233083
southern-bluefin-tuna,jan-mar,0,84.5,-32.5,57,5233083
southern-bluefin-tuna,jan-mar,0,90.5,-32.5,57,5232089
southern-bluefin-tuna,jan-mar,0,164.5,-32.5,81,5233163
southern-bluefin-tuna,jan-mar,0,-96.5,-31.5,87,5331095
southern-bluefin-tuna,jan-mar,0,1.5,-31.5,47,5232002
southern-bluefin-tuna,jan-mar,0,2.5,-31.5,47,5232003
southern-bluefin-tuna,jan-mar,0,75.5,-31.5,51,5231074
southern-bluefin-tuna,jan-mar,0,84.5,-31.5,57,5232085
southern-bluefin-tuna,jan-mar,0,86.5,-31.5,57,5232086
southern-bluefin-tuna,jan-mar,0,87.5,-31.5,57,5232086
southern-bluefin-tuna,jan-mar,0,100.5,-31.5,57,5232101
southern-bluefin-tuna,jan-mar,0,101.5,-31.5,57,5231102
southern-bluefin-tuna,jan-mar,0,113.5,-31.5,57,5232112
southern-bluefin-tuna,jan-mar,0,114.5,-31.5,57,5232114
southern-bluefin-tuna,jan-mar,0,157.5,-31.5,81,5231157
southern-bluefin-tuna,jan-mar,0,164.5,-31.5,81,5232165
southern-bluefin-tuna,jan-mar,0,-98.5,-30.5,87,5331097
southern-bluefin-tuna,jan-mar,0,74.5,-30.5,51,5229075
southern-bluefin-tuna,jan-mar,0,84.5,-30.5,57,5231085
southern-bluefin-tuna,jan-mar,0,85.5,-30.5,57,5231086
southern-bluefin-tuna,jan-mar,0,86.5,-30.5,57,5229087
southern-bluefin-tuna,jan-mar,0,87.5,-30.5,57,5229088
southern-bluefin-tuna,jan-mar,0,103.5,-30.5,57,5231104
southern-bluefin-tuna,jan-mar,0,104.5,-30.5,57,5231104
southern-bluefin-tuna,jan-mar,0,105.5,-30.5,57,5231105
southern-bluefin-tuna,jan-mar,0,109.5,-30.5,57,5231109
southern-bluefin-tuna,jan-mar,0,110.5,-30.5,57,5231109
southern-bluefin-tuna,jan-mar,0,111.5,-30.5,57,5231110
southern-bluefin-tuna,jan-mar,0,112.5,-30.5,57,5229111
southern-bluefin-tuna,jan-mar,0,161.5,-30.5,81,5231161
southern-bluefin-tuna,jan-mar,0,3.5,-29.5,47,5230003
southern-bluefin-tuna,jan-mar,0,72.5,-29.5,51,5230073
southern-bluefin-tuna,jan-mar,0,92.5,-29.5,57,5228091
southern-bluefin-tuna,jan-mar,0,100.5,-29.5,57,5230099
southern-bluefin-tuna,jan-mar,0,102.5,-29.5,57,5230102
southern-bluefin-tuna,jan-mar,0,103.5,-29.5,57,5229103
southern-bluefin-tuna,jan-mar,0,105.5,-29.5,57,5230105
southern-bluefin-tuna,jan-mar,0,106.5,-29.5,57,5230105
southern-bluefin-tuna,jan-mar,0,108.5,-29.5,57,5230107
southern-bluefin-tuna,jan-mar,0,-100.5,-28.5,87,5329100
southern-bluefin-tuna,jan-mar,0,-99.5,-28.5,87,5329100
southern-bluefin-tuna,jan-mar,0,-34.5,-28.5,41,5329033
southern-bluefin-tuna,jan-mar,0,-32.5,-28.5,41,5329033
southern-bluefin-tuna,jan-mar,0,-31.5,-28.5,41,5329030
southern-bluefin-tuna,jan-mar,0,92.5,-28.5,57,5228091
